N = 10000

n  prob        alpha used  beta used
1  0.000000    1.000000    0.000000
2  0.000800    0.999600    0.020000
3  0.002398    0.998800    0.039992
4  0.004793    0.997601    0.059968
5  0.007979    0.996002    0.079920
6  0.011953    0.994006    0.099840
7  0.016707    0.991611    0.119720
8  0.022235    0.988820    0.139552
9  0.028526    0.985634    0.159329
10  0.035572    0.982053    0.179041
11  0.043361    0.978079    0.198683
12  0.051881    0.973714    0.218244
13  0.061117    0.968960    0.237718
14  0.071055    0.963818    0.257098
15  0.081679    0.958290    0.276374
16  0.092973    0.952380    0.295540
17  0.104918    0.946088    0.314587
18  0.117494    0.939418    0.333509
19  0.130683    0.932372    0.352297
20  0.144462    0.924953    0.370945
21  0.158810    0.917164    0.389444
22  0.173704    0.909008    0.407787
23  0.189120    0.900489    0.425967
24  0.205033    0.891609    0.443977
25  0.221418    0.882373    0.461809
26  0.238248    0.872784    0.479457
27  0.255497    0.862846    0.496913
28  0.273137    0.852562    0.514169
29  0.291140    0.841938    0.531221
30  0.309478    0.830977    0.548059
31  0.328119    0.819683    0.564679
32  0.347036    0.808062    0.581073
33  0.366198    0.796117    0.597234
34  0.385573    0.783854    0.613156
35  0.405131    0.771277    0.628833
36  0.424841    0.758392    0.644259
37  0.444672    0.745204    0.659427
38  0.464590    0.731717    0.674331
39  0.484566    0.717938    0.688965
40  0.504565    0.703871    0.703324
41  0.524558    0.689523    0.717401
42  0.544511    0.674899    0.731192
43  0.564393    0.660006    0.744690
44  0.584171    0.644848    0.757890
45  0.603815    0.629432    0.770787
46  0.623293    0.613764    0.783375
47  0.642574    0.597851    0.795651
48  0.661626    0.581699    0.807608
49  0.680420    0.565314    0.819242
50  0.698924    0.548704    0.830548
51  0.717111    0.531873    0.841522
52  0.734950    0.514830    0.852160
53  0.752413    0.497581    0.862456
54  0.769473    0.480133    0.872408
55  0.786101    0.462492    0.882010
56  0.802271    0.444667    0.891260
57  0.817958    0.426664    0.900154
58  0.833136    0.408490    0.908687
59  0.847780    0.390153    0.916857
60  0.861869    0.371660    0.924660
61  0.875378    0.353018    0.932093
62  0.888287    0.334235    0.939153
63  0.900574    0.315318    0.945838
64  0.912221    0.296275    0.952144
65  0.923208    0.277114    0.958070
66  0.933518    0.257842    0.963612
67  0.943134    0.238466    0.968769
68  0.952041    0.218996    0.973538
69  0.960225    0.199437    0.977918
70  0.967672    0.179799    0.981907
71  0.974371    0.160089    0.985503
72  0.980312    0.140315    0.988705
73  0.985483    0.120485    0.991511
74  0.989878    0.100606    0.993921
75  0.993489    0.080688    0.995933
76  0.996311    0.060737    0.997547
77  0.998338    0.040762    0.998761
78  0.999569    0.020770    0.999577
79  0.999999    0.000770    0.999992
80  0.999630    -0.019230    1.000007
81  0.998462    -0.039222    0.999623
82  0.996495    -0.059199    0.998838
83  0.993735    -0.079152    0.997654
84  0.990184    -0.099074    0.996071
85  0.985850    -0.118955    0.994090
86  0.980737    -0.138790    0.991711
87  0.974856    -0.158568    0.988935
88  0.968215    -0.178284    0.985764
89  0.960825    -0.197928    0.982198
90  0.952697    -0.217492    0.978239
91  0.943845    -0.236970    0.973890
92  0.934283    -0.256353    0.969150
93  0.924026    -0.275634    0.964023
94  0.913091    -0.294804    0.958510
95  0.901494    -0.313856    0.952614
96  0.889256    -0.332783    0.946337
97  0.876394    -0.351577    0.939682
98  0.862930    -0.370230    0.932650
99  0.848886    -0.388734    0.925245
100  0.834283    -0.407084    0.917471
101  0.819145    -0.425270    0.909329
102  0.803497    -0.443287    0.900824
103  0.787363    -0.461126    0.891958
104  0.770769    -0.478781    0.882735
105  0.753742    -0.496244    0.873160
106  0.736309    -0.513509    0.863235
107  0.718498    -0.530568    0.852965
108  0.700337    -0.547415    0.842353
109  0.681855    -0.564043    0.831405
110  0.663083    -0.580446    0.820124
111  0.644049    -0.596616    0.808515
112  0.624785    -0.612548    0.796583
113  0.605322    -0.628234    0.784332
114  0.585689    -0.643670    0.771767
115  0.565920    -0.658847    0.758894
116  0.546045    -0.673762    0.745717
117  0.526096    -0.688407    0.732242
118  0.506106    -0.702776    0.718474
119  0.486105    -0.716864    0.704418
120  0.466127    -0.730666    0.690081
121  0.446203    -0.744175    0.675467
122  0.426365    -0.757387    0.660584
123  0.406644    -0.770296    0.645436
124  0.387073    -0.782896    0.630030
125  0.367683    -0.795184    0.614372
126  0.348504    -0.807153    0.598469
127  0.329567    -0.818800    0.582326
128  0.310903    -0.830119    0.565950
129  0.292541    -0.841106    0.549347
130  0.274511    -0.851756    0.532525
131  0.256842    -0.862066    0.515490
132  0.239562    -0.872031    0.498249
133  0.222698    -0.881647    0.480808
134  0.206278    -0.890911    0.463175
135  0.190328    -0.899818    0.445357
136  0.174873    -0.908365    0.427361
137  0.159938    -0.916549    0.409193
138  0.145547    -0.924366    0.390862
139  0.131723    -0.931814    0.372375
140  0.118489    -0.938888    0.353739
141  0.105864    -0.945588    0.334961
142  0.093870    -0.951909    0.316049
143  0.082526    -0.957849    0.297011
144  0.071849    -0.963406    0.277854
145  0.061857    -0.968578    0.258586
146  0.052567    -0.973362    0.239214
147  0.043992    -0.977757    0.219747
148  0.036146    -0.981761    0.200192
149  0.029042    -0.985372    0.180557
150  0.022692    -0.988589    0.160849
151  0.017106    -0.991410    0.141078
152  0.012291    -0.993835    0.121249
153  0.008257    -0.995863    0.101373
154  0.005010    -0.997492    0.081455
155  0.002554    -0.998722    0.061506
156  0.000895    -0.999553    0.041531
157  0.000033    -0.999983    0.021540
158  -0.000028    -1.000014    0.001540
159  0.000710    -0.999645    -0.018460
160  0.002247    -0.998876    -0.038453
161  0.004580    -0.997707    -0.058430
162  0.007706    -0.996140    -0.078384
163  0.011619    -0.994174    -0.098307
164  0.016314    -0.991810    -0.118191
165  0.021782    -0.989049    -0.138027
166  0.028015    -0.985893    -0.157808
167  0.035003    -0.982342    -0.177526
168  0.042735    -0.978399    -0.197173
169  0.051199    -0.974064    -0.216741
170  0.060380    -0.969340    -0.236222
171  0.070265    -0.964228    -0.255609
172  0.080837    -0.958730    -0.274893
173  0.092080    -0.952848    -0.294068
174  0.103975    -0.946586    -0.313125
175  0.116504    -0.939945    -0.332057
176  0.129646    -0.932928    -0.350855
177  0.143381    -0.925537    -0.369514
178  0.157686    -0.917777    -0.388025
179  0.172538    -0.909649    -0.406380
180  0.187915    -0.901158    -0.424573
181  0.203790    -0.892306    -0.442596
182  0.220140    -0.883097    -0.460442
183  0.236937    -0.873535    -0.478104
184  0.254155    -0.863623    -0.495575
185  0.271766    -0.853367    -0.512848
186  0.289742    -0.842768    -0.529915
187  0.308054    -0.831833    -0.546770
188  0.326674    -0.820565    -0.563407
189  0.345570    -0.808968    -0.579818
190  0.364714    -0.797048    -0.595998
191  0.384074    -0.784810    -0.611939
192  0.403619    -0.772257    -0.627635
193  0.423319    -0.759395    -0.643080
194  0.443141    -0.746230    -0.658268
195  0.463054    -0.732766    -0.673192
196  0.483026    -0.719009    -0.687848
197  0.503025    -0.704965    -0.702228
